Score:,AttackVector,ComponentComplexity,PrivilegeRequired (S:U)
0.0321,0.27,0.44,0.27
0.0737,0.27,0.44,0.62
0.1010,0.27,0.44,0.85
0.0441,0.27,0.605,0.27
0.1013,0.27,0.605,0.62
0.1388,0.27,0.605,0.85
0.0561,0.27,0.77,0.27
0.1289,0.27,0.77,0.62
0.1767,0.27,0.77,0.85
0.0737,0.62,0.44,0.27
0.1691,0.62,0.44,0.62
0.2319,0.62,0.44,0.85
0.1013,0.62,0.605,0.27
0.2326,0.62,0.605,0.62
0.3188,0.62,0.605,0.85
0.1289,0.62,0.77,0.27
0.2960,0.62,0.77,0.62
0.4058,0.62,0.77,0.85
0.1010,0.85,0.44,0.27
0.2319,0.85,0.44,0.62
0.3179,0.85,0.44,0.85
0.1388,0.85,0.605,0.27
0.3188,0.85,0.605,0.62
0.4371,0.85,0.605,0.85
0.1767,0.85,0.77,0.27
0.4058,0.85,0.77,0.62
0.5563,0.85,0.77,0.85
